,app,alg,f_of_S,Time,TimeDist,TimePost,SolSize,k,n,nNodes,nThreads,trial
10,RevMax,MED+RG,33749.47275134318,18583.993818998337,18583.93095421791,0.0,3125,3125,100000,32,1,1
0,RevMax,MED+RG,48.0,20.95805311203003,20.947082996368408,0.0,4,4,100000,32,1,1
1,RevMax,MED+RG,96.0,35.4401798248291,35.42999196052551,0.0,8,8,100000,32,1,1
2,RevMax,MED+RG,192.0,49.71238398551941,49.70268201828003,0.0,16,16,100000,32,1,1
3,RevMax,MED+RG,380.0,96.53932809829712,96.52914094924928,0.0,32,32,100000,32,1,1
4,RevMax,MED+RG,732.0,224.37030792236328,224.36016392707825,0.0,64,64,100000,32,1,1
5,RevMax,MED+RG,1436.0,579.8463521003723,579.8363702297211,0.0,128,128,100000,32,1,1
6,RevMax,MED+RG,2844.0,1208.8874740600586,1208.8770499229431,0.0,256,256,100000,32,1,1
7,RevMax,MED+RG,5660.0,2768.723201036453,2768.7114028930664,0.0,512,512,100000,32,1,1
8,RevMax,MED+RG,11292.0,5772.695672035217,5772.677916526794,0.0,1024,1024,100000,32,1,1
9,RevMax,MED+RG,22556.0,11905.62200307846,11905.591663360596,0.0,2048,2048,100000,32,1,1
10,RevMax,MED+RG,33664.12978122447,18895.514616012573,18895.481354236603,0.0,3125,3125,100000,32,1,1
0,RevMax,MED+RG,48.0,20.57467603683472,20.563807010650635,0.0,4,4,100000,32,1,1
1,RevMax,MED+RG,96.0,34.45898985862732,34.44848895072937,0.0,8,8,100000,32,1,1
2,RevMax,MED+RG,192.0,49.71565389633179,49.70556879043579,0.0,16,16,100000,32,1,1
3,RevMax,MED+RG,380.0,95.87735605239868,95.86729288101196,0.0,32,32,100000,32,1,1
4,RevMax,MED+RG,732.0,229.30387902259827,229.29350090026853,0.0,64,64,100000,32,1,1
5,RevMax,MED+RG,1436.0,561.2357130050659,561.2252991199493,0.0,128,128,100000,32,1,1
6,RevMax,MED+RG,2844.0,1233.4588811397552,1233.4482831954956,0.0,256,256,100000,32,1,1
7,RevMax,MED+RG,5660.0,2756.0909991264343,2756.079641819,0.0,512,512,100000,32,1,1
8,RevMax,MED+RG,11292.0,5440.185075998306,5440.16969203949,0.0,1024,1024,100000,32,1,1
9,RevMax,MED+RG,22556.0,11166.837433099749,11166.81662607193,0.0,2048,2048,100000,32,1,1
10,RevMax,MED+RG,34379.93433240035,18745.892059087757,18745.848870515823,0.0,3125,3125,100000,32,1,1
0,RevMax,MED+RG,48.0,20.98643398284912,20.975292921066284,0.0,4,4,100000,32,1,1
1,RevMax,MED+RG,96.0,34.75458598136902,34.74457406997681,0.0,8,8,100000,32,1,1
2,RevMax,MED+RG,192.0,48.58300280570984,48.57275581359863,0.0,16,16,100000,32,1,1
3,RevMax,MED+RG,380.0,93.16110491752625,93.15135216712952,0.0,32,32,100000,32,1,1
